dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
8/10/2020,10,8,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,2.07929408
8/9/2020,9,8,2020,39,5,Afghanistan,AF,AFG,38041757,Asia,2.35793526
8/8/2020,8,8,2020,78,9,Afghanistan,AF,AFG,38041757,Asia,2.57348786
8/7/2020,7,8,2020,41,0,Afghanistan,AF,AFG,38041757,Asia,2.65234858
8/6/2020,6,8,2020,67,4,Afghanistan,AF,AFG,38041757,Asia,2.57874525
8/5/2020,5,8,2020,82,6,Afghanistan,AF,AFG,38041757,Asia,2.89681678
8/4/2020,4,8,2020,37,4,Afghanistan,AF,AFG,38041757,Asia,2.97567749
8/3/2020,3,8,2020,0,1,Afghanistan,AF,AFG,38041757,Asia,3.2464326
8/2/2020,2,8,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,3.70382472
8/1/2020,1,8,2020,168,12,Afghanistan,AF,AFG,38041757,Asia,3.73536901
7/31/2020,31,7,2020,71,0,Afghanistan,AF,AFG,38041757,Asia,3.86943221
7/30/2020,30,7,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,3.88257567
7/29/2020,29,7,2020,103,1,Afghanistan,AF,AFG,38041757,Asia,4.55026302
7/28/2020,28,7,2020,105,1,Afghanistan,AF,AFG,38041757,Asia,5.02868466
7/27/2020,27,7,2020,106,10,Afghanistan,AF,AFG,38041757,Asia,4.76318694
7/26/2020,26,7,2020,121,13,Afghanistan,AF,AFG,38041757,Asia,4.48454576
7/25/2020,25,7,2020,108,35,Afghanistan,AF,AFG,38041757,Asia,4.38991291
7/24/2020,24,7,2020,13,0,Afghanistan,AF,AFG,38041757,Asia,5.30995453
7/23/2020,23,7,2020,188,21,Afghanistan,AF,AFG,38041757,Asia,5.9460976
7/22/2020,22,7,2020,112,4,Afghanistan,AF,AFG,38041757,Asia,5.60699654
7/21/2020,21,7,2020,140,5,Afghanistan,AF,AFG,38041757,Asia,5.8646082
7/20/2020,20,7,2020,174,17,Afghanistan,AF,AFG,38041757,Asia,6.63481448
7/19/2020,19,7,2020,12,17,Afghanistan,AF,AFG,38041757,Asia,6.91082696
7/18/2020,18,7,2020,219,32,Afghanistan,AF,AFG,38041757,Asia,7.79406692
7/17/2020,17,7,2020,76,21,Afghanistan,AF,AFG,38041757,Asia,8.01224823
7/16/2020,16,7,2020,254,49,Afghanistan,AF,AFG,38041757,Asia,8.30140416
7/15/2020,15,7,2020,285,33,Afghanistan,AF,AFG,38041757,Asia,8.47226904
7/14/2020,14,7,2020,4,2,Afghanistan,AF,AFG,38041757,Asia,8.4564969
7/13/2020,13,7,2020,0,0,Afghanistan,AF,AFG,38041757,Asia,9.15835722
7/12/2020,12,7,2020,85,16,Afghanistan,AF,AFG,38041757,Asia,10.08102754
7/11/2020,11,7,2020,458,37,Afghanistan,AF,AFG,38041757,Asia,10.29132277
7/10/2020,10,7,2020,255,20,Afghanistan,AF,AFG,38041757,Asia,9.81290112
7/9/2020,9,7,2020,59,1,Afghanistan,AF,AFG,38041757,Asia,10.35178265
7/8/2020,8,7,2020,210,16,Afghanistan,AF,AFG,38041757,Asia,10.81180346
7/7/2020,7,7,2020,433,56,Afghanistan,AF,AFG,38041757,Asia,11.14827583
7/6/2020,6,7,2020,279,38,Afghanistan,AF,AFG,38041757,Asia,10.82494691
7/5/2020,5,7,2020,348,7,Afghanistan,AF,AFG,38041757,Asia,11.16667666
7/4/2020,4,7,2020,302,12,Afghanistan,AF,AFG,38041757,Asia,11.68715735
7/3/2020,3,7,2020,186,33,Afghanistan,AF,AFG,38041757,Asia,11.80281973
7/2/2020,2,7,2020,319,28,Afghanistan,AF,AFG,38041757,Asia,13.04356158
7/1/2020,1,7,2020,279,13,Afghanistan,AF,AFG,38041757,Asia,13.68759072
6/30/2020,30,6,2020,271,12,Afghanistan,AF,AFG,38041757,Asia,15.01245066
6/29/2020,29,6,2020,351,18,Afghanistan,AF,AFG,38041757,Asia,16.30050894
6/28/2020,28,6,2020,165,20,Afghanistan,AF,AFG,38041757,Asia,17.12328902
6/27/2020,27,6,2020,276,8,Afghanistan,AF,AFG,38041757,Asia,18.15110695
6/26/2020,26,6,2020,460,36,Afghanistan,AF,AFG,38041757,Asia,19.15000929
6/25/2020,25,6,2020,234,21,Afghanistan,AF,AFG,38041757,Asia,19.90444343
6/24/2020,24,6,2020,338,20,Afghanistan,AF,AFG,38041757,Asia,21.08735409
6/23/2020,23,6,2020,310,17,Afghanistan,AF,AFG,38041757,Asia,21.62360692
6/22/2020,22,6,2020,409,12,Afghanistan,AF,AFG,38041757,Asia,22.32020987
6/21/2020,21,6,2020,546,21,Afghanistan,AF,AFG,38041757,Asia,23.32436959
6/20/2020,20,6,2020,346,2,Afghanistan,AF,AFG,38041757,Asia,23.41900244
6/19/2020,19,6,2020,658,42,Afghanistan,AF,AFG,38041757,Asia,24.91472726
6/18/2020,18,6,2020,564,13,Afghanistan,AF,AFG,38041757,Asia,25.25382831
